EmployeeID,EmployeeName,Gender,Age,Department,JobTitle,EducationLevel,City,Salary,ExperienceYears,PerformanceScore,LeavesTaken,ProjectsHandled,JoiningDate,Status,Attrition,WorkMode,Unnamed: 0
20000,Employee_863,Female,38,Operations,Manager,High School,Delhi,₹64561.82,13,1,18,19,2021-07-10,resigned, No , On-site ,0
20001,Employee_615,female,56,Marketing,Senior Analyst,Bachelor,Chennai,₹59957.17,16,,,20,15-12-2016,Resigned,no,,1
20002,Employee_190,Female,37,Engineering,Intern, PhD ,Mumbai,₹102836.80,33,3,13,4,2019-02-27,Active,No,Hybrid,2
20003,Employee_904,Female,26,Marketing,Senior Manager,Bachelor,Chennai,₹37005.17,6,7,21,10,01/12/2019,on leave,No, On-site ,3
20004,Employee_582,Male,32,Operations,,HIGH SCHOOL,Chennai,₹126317.59,16,5,29,87,27/11/2023,Resigned,No,REMOTE,4
20005,Employee_1130,Male,40, Finance ,Executive,master,Hyderabad,₹97497.23,19,10,9,19,2020/10/20,Terminated,Yes,Hybrid,5
20006,Employee_719,Female,28,PRODUCT,senior analyst,Bachelor,Ko@kata,₹186357.17,30,6,3,0,28-06-2019,on leave,No,ON-SITE,6
20007,Employee_354,Male,62,HR,Senior Analyst,MASTER,Delhi,₹23637.08,3,4,17,8,02/11/2020,Terminated,No,Remote,7
20008,Employee_902,,41,Sales,vp,Master,,₹243422.05,32,-7,3,14,16/11/2024,Terminated,NO,,8
20009,Employee_316,Male,3256,,Manager,,Ahmedabad,₹120540.91,-19,,2,21,20-07-2018,On Leave,No,Hybrid,9
20010,Employee_618,Female,43,ENGINEERING,SENIOR ENGINEER, High School ,Noida,₹26546.29,6,10,20,7,2016-07-27,Resigned,No,On-site,10
20011,Employee_1331,Female,37,legal,Director,High School,Kolkata,₹86800.55,17,8,9,9,2021/04/21,Terminated,No,On-site,11
20012,Employee_16,Male,29,Sales,senior engineer,Master,Ahmedabad,₹33386.82,2,1,0,16,2022-07-01,Resigned,No,hybrid,12
20013,Employee_1240,Male,27, Sales , Analyst ,BACHELOR,Mumbai,₹66148.13,11,8,28,16,21-01-2020,Active,Yes,ON-SITE,13
20014,Em@loyee_114,Male,27,hr,manager,Master,Delhi,₹91701.73,35,2,30,14,09/11/2019,,Yes,Remote,14
20015,Employee_1173,Female,35,FINANCE,,bachelor,Mumbai,₹85216.10,,7,6,13,10/07/2020,RESIGNED,No,On-site,15
20016,Employee_539,Female,24,Product, Senior Engineer ,Bachelor,Mumbai,₹153009.84,32,-7,280,24,2018-08-22,Resigned,Yes,Remote,16
20017,Employee_1456,Female,56,Product,Manager,Bachelor,,₹187031.08,26,3,5,9,2021/08/31,Terminated,No,Remote,17
20018,Employee_1417,Female,31,Product,senior engineer,PhD,Chennai,₹231039.47,32,9,29,1,2017/05/08,Terminated,Yes,remote,18
20019,Employee_127,Female,30,HR, Manager ,High School,Mumbai,₹80313.25,12,6,,15,23/08/2022,resigned,No,remote,19
20020,Employee_559,Female,, Finance ,VP,Bachelor,,₹25962.37,1,7,8,9,2020/11/06,Active,No,Hybrid,20
20021,Employee_1114, Male ,53,Legal,Intern,Bachelor,,₹109870.70,26,441,156,16,2020/12/27, Resigned ,No,Hybrid,21
20022,Employee_115,Male,59,Sales,VP,Master,Pune,₹109812.94,15,10,8,0,2015/07/24,terminated,No,On-site,22
20023,Employee_1298, Female ,52,Legal,senior manager,Bachelor,Delhi,₹109974.95,25,8,21,18,03-07-2022,Terminated,No,Hybrid,23
20024,Employee_1420,Female,26,Operations,Analyst,PhD,Kolkata,₹25906.53,3,8,13,2,2021/09/05,active,,On-site,24
20025,Employee_41,male,30,Sales,SENIOR MANAGER,bachelor,Pune,₹138287.34,30,2,23,19,16-05-2022,active,No,Remote,25
20026,Employee_296,Female,42,Marketing,Director,Master,Delhi,₹144928.20,35,9,5,1,20-02-2020,Active,No,On-site,26
20027,Employee_1323, Male ,56,Engineering,Senior Manager,Master,Delhi,₹127315.12,31,,4,2,2020/01/15,ACTIVE,Yes,Hybrid,27
20028,Employee_807,female,61,Sales,Director,Master,Pune,₹34057.62,2,2,26,2,2021/06/23,Terminated,Yes,ON-SITE,28
20029,Employee_1498,,48,Product,vp,Master,Pune,₹155846.23,23,7,2,23,13/10/2023,Active,No,hybrid,29
20030,Employee_1286,Male,28,HR,Executive,PhD,Mumbai,₹138572.00,28,10,-21,5,17/09/2016,Terminated,No,On-site,30
20031,Employee_875,Male,23,Operations,Senior Manager,High School,Kolkata,₹34916.63,7,4,5,9,10/11/2022,Resigned,No,On-site,31
20032,Employee_31,male,33,Operations,Senior Engineer,High School,Chennai,₹199602.67,29,4,22,20,2020/11/16,on leave,Yes,Remote,32
20033,Employee_1148,Male,49,Legal,Intern,HIGH SCHOOL,Delhi,₹28713.91,2,3,20,19,27-06-2021,Terminated,Yes,Hybrid,33
20034,Employee_12, Female ,60,Sales,Intern,Master,Kolkata,₹266498.56,33,10,16,18,13-08-2015,Resigned,Yes,,34
20035,Employee_982,female,57, Engineering , Senior Engineer ,Master,Chennai,₹79080.15,26,3,12,1,2021-08-24,Terminated,No,Hybrid,35
20036,,Female,45,Sales,Analyst,phd,Noida,₹31156.05,1,7,28,7,2019-07-21,Active,,,36
20037,Employee_754,Male,30,Legal, Senior Analyst ,Bachelor,Delhi,₹30477.74,1,9,20,11,09/08/2022,,Yes,On-site,37
20038,Employee_252,Male,26,Operations,Director,Master,Kolkata,₹84425.25,10,10,22,23,2020/08/04,Active,Yes,HYBRID,38
20039,Employee_367,Male,58,Sales,Executive,bachelor,Ahmedabad,₹33223.76,3,10,5,,2018-12-14,Active, Yes ,remote,39
20040,Employee_1004, Male ,61, Product ,Senior Manager,Bachelor,Delhi,₹34091.41,5,3,0,25,14/11/2016,Resigned,Yes,Remote,40
20041,Employee_817,Female,35,Engineering,executive,High School,Chennai,₹49141.52,6,9,19,24,2020-04-26,,Yes,Remote,41
20042,Employee_712,FEMALE,42,HR,Senior Manager,phd,Kolkata,₹110189.17,12,,24,11,16-01-2017,terminated,No,HYBRID,42
20043,  Employee_773  , Male ,45, Legal ,Director,PHD,,₹150441.08,,7,14,2,18-01-2021,Active,,Remote,43
20044,Employee_1125,Male,47,Product,Senior Analyst,High School,Noida,₹28344.42,3,10,16,3,2016-03-03,Active,,,44
20045,,Female,37,Legal,vp,MASTER,Hyderabad,96836.77,27,3,23,3,19-11-2020,Terminated, No ,Remote,45
20046,Employee_926,Male,30,Finance,manager,Bachelor,Gurgaon,187744.09,,7,9,1,04/05/2024,,No,Remote,46
20047,Employee_171,MALE,26,HR,vp,Master,Noida,₹249243.18,31,10,21,14,2022/05/06,Resigned, No ,Remote,47
20048,Employee_1179,Male,24,Sales,Senior Manager, Bachelor ,Kolkata,,33,2,,22,2018/06/10,Resigned,Yes,On-site,48
20049,Employee_425,Male,57,HR,Senior Analyst, PhD ,Pune,₹191161.66,22,10,14,23,2016-02-20,RESIGNED,No,Remote,49
20050,Employee_53,Male,48,Legal,Director,Master,Ahmedabad,₹24064.44,2,7,7,19,2020-05-20,TERMINATED,,On-site,50
20051,Employee_688,MALE,,Sales,analyst,Bachelor,Delhi,₹26818.25,2,5,,6,TBD,Terminated,No,ON-SITE,51
20052,Employee_117,Male,,Engineering,Senior Engineer,Bachelor,Hyderabad,72333.32,21,4,6,11,2020/04/03,Terminated,yes,HYBRID,52
